Company,Year,Does the company publish and follow an environmental policy? Yes/No,Energy used (GJ/employee)                                                             Annual total direct energy consumption per employee,Specify the primary source of energy used by the company,Total amount of energy used (GJ),Total greenhouse gas emissions (tonnes),Total waste produced (kg),Total water use (m3),Average hours of training per employee,Disclosure and adherence to a Human Rights Policy? Yes/No,Does the company prohibit the use of child or forced labor throughout the supply chain? Yes/No,Does the company publish and follow a policy for occupational and global health issues? Yes/No,Employee turnover rate (%),Employee wages & benefits,Nationalisation rate (%),"Number of grievances about human rights issues filed, addressed and resolved",Pre-tax profits invested in the community (%),Spending on locally-based suppliers (%),Total number of injuries and fatal accidents (contractors),Total number of injuries and fatal accidents (employees and contractors),Total number of injuries and fatal accidents (employees),Total workforce (FTE),Women in the workforce (%),CEO pay ratio,Disclosure of the voting results of the latest AGM. Yes/No,Does the company publish and follow a Bribery/Anti-Corruption Code? Yes/No,Does the company publish and follow an Ethics Code of Conduct? Yes/No,Executive compensation linked to performance indicators. Yes/No,Female directors on the board (%),Independent directors on the board (%),Median male salary to median female salary,Role separation of Chairman and CEO. Yes/No,Sustainability report published. Yes/No
cbq,2022,Yes,65.06,Electricity,94012,13107,75886,59355,17.96,Yes,Yes,Yes,14.60,163,34.60,0,2.83,76.30,0,0,0,1445,38.40,,,Yes,Yes,Yes,0,33.33,1.11,Yes,Yes
cbq,2021,No,64.97,Electricity,91934,12817,74554,60295,13.69,Yes,Yes,Yes,,260,35.20,0,3.06,86.90,0,0,0,1415,40.10,,Yes,Yes,Yes,Yes,0,33.33,1.02,Yes,Yes
cbq,2020,No,73.98,Electricity,104758,14612,65040,72220,22.13,Yes,Yes,Yes,14.10,174,34.80,0,2.75,85.80,0,0,0,1416,41.10,,Yes,Yes,Yes,Yes,0,33.30,0.95,Yes,Yes
cbq,2019,No,74.77,Electricity,108191,15143,73389,71011,26.70,Yes,Yes,Yes,,218,33.40,0,2.76,87,0,0,0,1452,39.70,,Yes,Yes,Yes,Yes,0,33.30,0.89,Yes,No
