Company,Year,Does the company publish and follow an environmental policy? Yes/No,Energy used (GJ/employee)                                                             Annual total direct energy consumption per employee,Specify the primary source of energy used by the company,Total amount of energy used (GJ),Total greenhouse gas emissions (tonnes),Total waste produced (kg),Total water use (m3),Average hours of training per employee,Disclosure and adherence to a Human Rights Policy? Yes/No,Does the company prohibit the use of child or forced labor throughout the supply chain? Yes/No,Does the company publish and follow a policy for occupational and global health issues? Yes/No,Employee turnover rate (%),Employee wages & benefits,Nationalisation rate (%),"Number of grievances about human rights issues filed, addressed and resolved",Pre-tax profits invested in the community (%),Spending on locally-based suppliers (%),Total number of injuries and fatal accidents (contractors),Total number of injuries and fatal accidents (employees and contractors),Total number of injuries and fatal accidents (employees),Total workforce (FTE),Women in the workforce (%),CEO pay ratio,Disclosure of the voting results of the latest AGM. Yes/No,Does the company publish and follow a Bribery/Anti-Corruption Code? Yes/No,Does the company publish and follow an Ethics Code of Conduct? Yes/No,Executive compensation linked to performance indicators. Yes/No,Female directors on the board (%),Independent directors on the board (%),Median male salary to median female salary,Role separation of Chairman and CEO. Yes/No,Sustainability report published. Yes/No
ahlibank,2022,Yes,41.51,Electricity,15860.09,1.91,94344.50,6971.62,10,Yes,Yes,No,8.39,41.58,26.24,0,2.50,76.90,0,0,0,381,34.43,18.32,Yes,Yes,Yes,Yes,0,37,1.19,Yes,Yes
ahlibank,2021,No,30.91,Electricity,11839.04,1.42,111405,8361,6,Yes,Yes,No,9.48,41.09,26.58,0,2.50,77,0,0.10,0.10,380,35.26,19.43,Yes,Yes,Yes,Yes,0,37,0.88,Yes,Yes
ahlibank,2020,No,50.92,Electricity,21081.03,4575,48336,17789.30,3,Yes,Yes,No,17,41.80,26.70,0,2.50,61,0,0,0,375,35,15,Yes,Yes,Yes,Yes,0,37,1.14,Yes,Yes
ahlibank,2019,No,45.04,Electricity,19164.64,4159,70034,15845.90,7,Yes,Yes,No,7,41.30,22.70,0,2.50,49,0,0,0,418,33,13,Yes,Yes,Yes,Yes,0,37,1.18,Yes,Yes
