Company,Year,Does the company publish and follow an environmental policy? Yes/No,Energy used (GJ/employee)                                                             Annual total direct energy consumption per employee,Specify the primary source of energy used by the company,Total amount of energy used (GJ),Total greenhouse gas emissions (tonnes),Total waste produced (kg),Total water use (m3),Average hours of training per employee,Disclosure and adherence to a Human Rights Policy? Yes/No,Does the company prohibit the use of child or forced labor throughout the supply chain? Yes/No,Does the company publish and follow a policy for occupational and global health issues? Yes/No,Employee turnover rate (%),Employee wages & benefits,Nationalisation rate (%),"Number of grievances about human rights issues filed, addressed and resolved",Pre-tax profits invested in the community (%),Spending on locally-based suppliers (%),Total number of injuries and fatal accidents (contractors),Total number of injuries and fatal accidents (employees and contractors),Total number of injuries and fatal accidents (employees),Total workforce (FTE),Women in the workforce (%),CEO pay ratio,Disclosure of the voting results of the latest AGM. Yes/No,Does the company publish and follow a Bribery/Anti-Corruption Code? Yes/No,Does the company publish and follow an Ethics Code of Conduct? Yes/No,Executive compensation linked to performance indicators. Yes/No,Female directors on the board (%),Independent directors on the board (%),Median male salary to median female salary,Role separation of Chairman and CEO. Yes/No,Sustainability report published. Yes/No
doha_bank,2022,Yes,67.31,Electricity,66635,4838,292000,43604,6.91,No,Yes,Yes,8,137.60,26,0,3.40,83,0,0,0,990,31,12,Yes,Yes,Yes,Yes,0,37.50,1.06,Yes,Yes
doha_bank,2021,Yes,63.90,Electricity,64736,4692,323000,38506,8.51,No,Yes,Yes,5,128.20,21,0,3.30,79,0,0,0,963,31,45,Yes,Yes,Yes,Yes,0,37.50,1.01,Yes,Yes
doha_bank,2020,Yes,67.60,Electricity,64598,4679,440000,39509,10,No,Yes,Yes,13,121.20,23,0,0.74,85,0,0,0,900,29,35,Yes,Yes,Yes,Yes,0,33.30,1.01,Yes,Yes
doha_bank,2019,Yes,19.60,Electricity,73168,5303,600000,34942,10.40,No,Yes,Yes,7.20,135.50,20.30,0,0.40,87,0,0,0,987,28.60,37,Yes,Yes,Yes,Yes,0,22.20,1.06,Yes,Yes
