Company,Year,Does the company publish and follow an environmental policy? Yes/No,Energy used (GJ/employee)                                                             Annual total direct energy consumption per employee,Specify the primary source of energy used by the company,Total amount of energy used (GJ),Total greenhouse gas emissions (tonnes),Total waste produced (kg),Total water use (m3),Average hours of training per employee,Disclosure and adherence to a Human Rights Policy? Yes/No,Does the company prohibit the use of child or forced labor throughout the supply chain? Yes/No,Does the company publish and follow a policy for occupational and global health issues? Yes/No,Employee turnover rate (%),Employee wages & benefits,Nationalisation rate (%),"Number of grievances about human rights issues filed, addressed and resolved",Pre-tax profits invested in the community (%),Spending on locally-based suppliers (%),Total number of injuries and fatal accidents (contractors),Total number of injuries and fatal accidents (employees and contractors),Total number of injuries and fatal accidents (employees),Total workforce (FTE),Women in the workforce (%),CEO pay ratio,Disclosure of the voting results of the latest AGM. Yes/No,Does the company publish and follow a Bribery/Anti-Corruption Code? Yes/No,Does the company publish and follow an Ethics Code of Conduct? Yes/No,Executive compensation linked to performance indicators. Yes/No,Female directors on the board (%),Independent directors on the board (%),Median male salary to median female salary,Role separation of Chairman and CEO. Yes/No,Sustainability report published. Yes/No
qib,2022,Yes,49.21,Electricity,39618,5871,36300,14082,37.68,Yes,Yes,Yes,6.24,174.42,30.50,0,3,80.50,0,0,0,765,26,,Yes,Yes,Yes,Yes,0,0,1.08,Yes,Yes
qib,2021,No,46.54,Electricity,36858,4392,96000,10372,35,Yes,Yes,Yes,7.40,178.14,27,0,3,95,0,0,0,792,25,,Yes,Yes,Yes,Yes,0,0,1.24,Yes,Yes
qib,2020,No,42.28,Electricity,35301,4182,25000,17197,39,Yes,Yes,Yes,6.70,180.44,27,0,3,97,0,0,0,835,25,,No,Yes,Yes,Yes,0,0,1.13,Yes,Yes
qib,2019,No,51.65,Electricity,44471,5277,100000,17293,32,Yes,Yes,Yes,5.92,175.78,28,0,3,97,0,0,0,861,25,,No,Yes,Yes,Yes,0,0,,Yes,No
