Company,Year,Does the company publish and follow an environmental policy? Yes/No,Energy used (GJ/employee)                                                             Annual total direct energy consumption per employee,Specify the primary source of energy used by the company,Total amount of energy used (GJ),Total greenhouse gas emissions (tonnes),Total waste produced (kg),Total water use (m3),Average hours of training per employee,Disclosure and adherence to a Human Rights Policy? Yes/No,Does the company prohibit the use of child or forced labor throughout the supply chain? Yes/No,Does the company publish and follow a policy for occupational and global health issues? Yes/No,Employee turnover rate (%),Employee wages & benefits,Nationalisation rate (%),"Number of grievances about human rights issues filed, addressed and resolved",Pre-tax profits invested in the community (%),Spending on locally-based suppliers (%),Total number of injuries and fatal accidents (contractors),Total number of injuries and fatal accidents (employees and contractors),Total number of injuries and fatal accidents (employees),Total workforce (FTE),Women in the workforce (%),CEO pay ratio,Disclosure of the voting results of the latest AGM. Yes/No,Does the company publish and follow a Bribery/Anti-Corruption Code? Yes/No,Does the company publish and follow an Ethics Code of Conduct? Yes/No,Executive compensation linked to performance indicators. Yes/No,Female directors on the board (%),Independent directors on the board (%),Median male salary to median female salary,Role separation of Chairman and CEO. Yes/No,Sustainability report published. Yes/No
nakilat,2022,Yes,14.90,"Â Fuel (HFO, MGO, LNG)",80204392,5837308,7805,510000,42,Yes,Yes,Yes,13,19,30,1,2.50,31.20,3,11,8,272,13,,Yes,Yes,Yes,Yes,0,57,1.17,Yes,Yes
nakilat,2021,Yes,15.79,"Â Fuel (HFO, MGO, LNG)",73694908,5376884,6879,350000,27,Yes,Yes,Yes,12,18,30,6,2.50,34.20,0,5,5,278,15,,Yes,Yes,Yes,Yes,0,57,1.03,Yes,Yes
nakilat,2020,Yes,17.30,"Â Fuel (HFO, MGO, LNG)",74015625,5585050,6895,312000,15,Yes,Yes,Yes,9,17,34,5,2.50,43.10,2,10,8,270,17,,Yes,Yes,Yes,Yes,0,57,0.82,Yes,Yes
nakilat,2019,Yes,15.98,"Â Fuel (HFO, MGO, LNG)",69610610,5167254,7363,388000,19,Yes,Yes,Yes,12,21,37,9,2.50,43.10,0,2,2,275,18,,Yes,Yes,Yes,Yes,0,57,0.93,Yes,Yes
