Company,Year,Does the company publish and follow an environmental policy? Yes/No,Energy used (GJ/employee)                                                             Annual total direct energy consumption per employee,Specify the primary source of energy used by the company,Total amount of energy used (GJ),Total greenhouse gas emissions (tonnes),Total waste produced (kg),Total water use (m3),Average hours of training per employee,Disclosure and adherence to a Human Rights Policy? Yes/No,Does the company prohibit the use of child or forced labor throughout the supply chain? Yes/No,Does the company publish and follow a policy for occupational and global health issues? Yes/No,Employee turnover rate (%),Employee wages & benefits,Nationalisation rate (%),"Number of grievances about human rights issues filed, addressed and resolved",Pre-tax profits invested in the community (%),Spending on locally-based suppliers (%),Total number of injuries and fatal accidents (contractors),Total number of injuries and fatal accidents (employees and contractors),Total number of injuries and fatal accidents (employees),Total workforce (FTE),Women in the workforce (%),CEO pay ratio,Disclosure of the voting results of the latest AGM. Yes/No,Does the company publish and follow a Bribery/Anti-Corruption Code? Yes/No,Does the company publish and follow an Ethics Code of Conduct? Yes/No,Executive compensation linked to performance indicators. Yes/No,Female directors on the board (%),Independent directors on the board (%),Median male salary to median female salary,Role separation of Chairman and CEO. Yes/No,Sustainability report published. Yes/No
woqod,2022,Yes,160.35,Kahramaa,265227,18364.07,487928.54,836296,30,Yes,Yes,Yes,4.41,49.25,14.60,0,2.50,86.09,0,23,23,1654,5.40,,Yes,Yes,Yes,No,0,44.44,,Yes,Yes
woqod,2021,Yes,169.55,Kahramaa,266199,18431.35,415137980,815964,22,Yes,Yes,Yes,9.64,44.35,15.03,2,2.50,84.31,0,14,14,1570,5.44,,Yes,Yes,Yes,No,0,44.44,,Yes,Yes
woqod,2020,Yes,141.43,Kahramaa,290086,20085,327912000,471871,16,Yes,Yes,Yes,4.74,44.83,15.40,0,2.57,80.61,0,16,16,1513,5.42,,Yes,Yes,No,No,0,44.44,,Yes,Yes
woqod,2019,Yes,130.49,Kahramaa,350133,24243,,322645,30.20,Yes,Yes,Yes,13.41,43.15,14,2,2.53,84.31,1,16,15,1647,5.34,,Yes,Yes,No,No,0,55.55,,Yes,Yes
