Company,Year,Does the company publish and follow an environmental policy? Yes/No,Energy used (GJ/employee)                                                             Annual total direct energy consumption per employee,Specify the primary source of energy used by the company,Total amount of energy used (GJ),Total greenhouse gas emissions (tonnes),Total waste produced (kg),Total water use (m3),Average hours of training per employee,Disclosure and adherence to a Human Rights Policy? Yes/No,Does the company prohibit the use of child or forced labor throughout the supply chain? Yes/No,Does the company publish and follow a policy for occupational and global health issues? Yes/No,Employee turnover rate (%),Employee wages & benefits,Nationalisation rate (%),"Number of grievances about human rights issues filed, addressed and resolved",Pre-tax profits invested in the community (%),Spending on locally-based suppliers (%),Total number of injuries and fatal accidents (contractors),Total number of injuries and fatal accidents (employees and contractors),Total number of injuries and fatal accidents (employees),Total workforce (FTE),Women in the workforce (%),CEO pay ratio,Disclosure of the voting results of the latest AGM. Yes/No,Does the company publish and follow a Bribery/Anti-Corruption Code? Yes/No,Does the company publish and follow an Ethics Code of Conduct? Yes/No,Executive compensation linked to performance indicators. Yes/No,Female directors on the board (%),Independent directors on the board (%),Median male salary to median female salary,Role separation of Chairman and CEO. Yes/No,Sustainability report published. Yes/No
vodafone_qatar,2022,No,915.47,Electricity,493436,45030,1600,9500,19,Yes,Yes,No,6.50,73.70,22,0,5,58,1,2,1,539,19,N / A,Yes,Yes,Yes,Yes,0,43,1.15,Yes,Yes
vodafone_qatar,2021,No,829.84,Electricity,395835,34762,500,6523,20,Yes,Yes,No,9,66.37,20,0,2.31,64,1,2,1,477,20,N / A,Yes,Yes,Yes,Yes,0,43,1.22,Yes,Yes
vodafone_qatar,2020,No,924.29,Electricity,423326,36409,,,20,Yes,Yes,No,18.60,62.69,17,0,6.63,55,0,0,0,458,21,N / A,Yes,Yes,Yes,Yes,0,43,1.24,Yes,Yes
vodafone_qatar,2019,No,730.67,Electricity,362411,31588,,,15,Yes,Yes,No,15.90,62.41,14,0,3.24,77,0,0,0,496,22,N / A,Yes,Yes,Yes,Yes,0,43,1.29,Yes,No
